stop_id,stop_name,stop_id2,stop_lat,stop_lon, ,rider_id,rider_name,Borough,Rides2019,Rides2020,Linked,check_link,link,node_link
M21,Chambers St,M21,40.713243,-74.003401,,309,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",M,9065146,2710023,2,LINK,LINK_640,LINK_640
M20,Canal St,M20,40.718092,-73.999892,,312,"Canal St (J,N,Q,R,W,Z,6)",M,15861864,4881373,4,LINK,LINK_312,LINK_312
M22,Fulton St,M22,40.710374,-74.007582,,325,"Fulton St (A,C,J,Z,2,3,4,5)",M,27715365,8855302,4,LINK,LINK_229,LINK_229
M23,Broad St,M23,40.706476,-74.011056,,307,"Broad St (J,Z)",M,2172223,698480,1,M23,,M23
N02,8 Av,N02,40.635064,-74.011719,,89,8 Av (N),B,3801700,1424892,1,N02,,N02
N04,New Utrecht Av,N04,40.624842,-73.996353,,194,New Utrecht Av (N)/62 St (D),B,1501183,718496,2,LINK,LINK_B16,LINK_B16
N03,Fort Hamilton Pkwy,N03,40.631386,-74.005351,,151,Fort Hamilton Pkwy (N),B,1372278,780316,1,N03,,N03
N05,18 Av,N05,40.620671,-73.990414,,72,18 Av (N),B,1179756,677764,1,N05,,N05
N06,20 Av,N06,40.61741,-73.985026,,74,20 Av (N),B,1142086,486218,1,N06,,N06
N07,Bay Pkwy,N07,40.611815,-73.981848,,109,Bay Pkwy (N),B,2071452,940309,1,N07,,N07
N08,Kings Hwy,N08,40.603923,-73.980353,,172,Kings Hwy (N),B,1371311,691832,1,N08,,N08
N09,Avenue U,N09,40.597473,-73.979137,,103,Avenue U (N),B,1019104,503937,1,N09,,N09
N10,86 St,N10,40.592721,-73.97823,,90,86 St (N),B,708542,365213,1,N10,,N10
Q01,Canal St,Q01,40.718383,-74.00046,,312,"Canal St (J,N,Q,R,W,Z,6)",M,15861864,4881373,4,LINK,LINK_312,LINK_312
Q03,72 St,Q03,40.768799,-73.958424,,291,72 St (Q),M,9528891,3752228,1,Q03,,Q03
Q04,86 St,Q04,40.777891,-73.951787,,299,86 St (Q),M,8378778,2913038,1,Q04,,Q04
Q05,96 St,Q05,40.784318,-73.947152,,303,96 St (Q),M,6154837,2353959,1,Q05,,Q05
R01,Astoria-Ditmars Blvd,R01,40.775036,-73.912034,,381,"Astoria-Ditmars Blvd (N,W)",Q,5277341,1996236,1,R01,,R01
R03,Astoria Blvd,R03,40.770258,-73.917843,,380,"Astoria Blvd (N,W)",Q,723354,1053976,1,R03,,R03
R04,30 Av,R04,40.766779,-73.921479,,357,"30 Av (N,W)",Q,5230182,1767179,1,R04,,R04
R05,Broadway,R05,40.76182,-73.925508,,392,"Broadway (N,W)",Q,3038655,1463280,1,R05,,R05
R06,36 Av,R06,40.756804,-73.929575,,359,"36 Av (N,W)",Q,1933812,845827,1,R06,,R06
R09,Queensboro Plaza,R09,40.750582,-73.940202,,414,"Queensboro Plaza (N,W,7)",Q,5018211,1790223,2,LINK,LINK_718,LINK_718
R08,39 Av-Dutch Kills,R08,40.752882,-73.932755,,361,"39 Av-Dutch Kills (N,W)",Q,761816,382607,1,R08,,R08
R11,Lexington Av/59 St,R11,40.76266,-73.967258,,331,"Lexington Av (N,R,W)/59 St (4,5,6)",M,16760813,6273480,2,LINK,LINK_629,LINK_629
R13,5 Av/59 St,R13,40.764811,-73.973347,,280,"5 Av-59 St (N,R,W)",M,4995128,1672584,1,R13,,R13
R14,57 St-7 Av,R14,40.764664,-73.980658,,284,"57 St-7 Av (N,Q,R,W)",M,11012550,3474824,1,R14,,R14
R15,49 St,R15,40.759901,-73.984139,,278,"49 St (N,R,W)",M,7410041,1985474,1,R15,,R15
R17,34 St-Herald Sq,R17,40.749567,-73.98795,,272,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",M,39385436,12826841,2,LINK,LINK_D17,LINK_D17
R16,Times Sq-42 St,R16,40.754672,-73.986754,,342,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",M,65020294,20341240,5,LINK,LINK_127,LINK_127
R18,28 St,R18,40.745494,-73.988691,,269,"28 St (R,W)",M,4018310,1197468,1,R18,,R18
R20,14 St-Union Sq,R20,40.735736,-73.990568,,244,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,32385260,10830712,3,LINK,LINK_635,LINK_635
R19,23 St,R19,40.741303,-73.989344,,266,"23 St (R,W)",M,7085694,2020698,1,R19,,R19
R21,8 St-NYU,R21,40.730328,-73.992629,,294,"8 St-New York University (R,W)",M,5434212,1549451,1,R21,,R21
R22,Prince St,R22,40.724329,-73.997702,,335,"Prince St (R,W)",M,4342692,1218279,1,R22,,R22
R23,Canal St,R23,40.719527,-74.001775,,312,"Canal St (J,N,Q,R,W,Z,6)",M,15861864,4881373,4,LINK,LINK_312,LINK_312
R24,City Hall,R24,40.713282,-74.006978,,319,"City Hall (R,W)",M,1710380,536758,1,R24,,R24
R25,Cortlandt St,R25,40.710668,-74.011029,,317,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",M,20820549,5930847,4,LINK,LINK_317,LINK_317
R26,Rector St,R26,40.70722,-74.013342,,337,"Rector St (R,W)",M,2014996,594426,1,R26,,R26
R28,Court St,R28,40.6941,-73.991777,,136,"Court St (R)/Borough Hall (2,3,4,5)",B,10135722,3356706,3,LINK,LINK_232,LINK_232
R29,Jay St-MetroTech,R29,40.69218,-73.985942,,167,"Jay St-MetroTech (A,C,F,R)",B,12238047,4048255,2,LINK,LINK_A41,LINK_A41
R27,Whitehall St-South Ferry,R27,40.703087,-74.012994,,339,"South Ferry (1)/Whitehall St (R,W)",M,10272682,3065053,2,LINK,LINK_142,LINK_142
R31,Atlantic Av-Barclays Ctr,R31,40.683666,-73.97881,,95,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",B,13939794,5474265,3,LINK,LINK_235,LINK_235
R30,DeKalb Av,R30,40.690635,-73.981824,,140,"DeKalb Av (B,Q,R)",B,6708640,2419410,1,R30,,R30
R33,4 Av-9 St,R33,40.670847,-73.988302,,78,"4 Av (F,G)/9 St (R)",B,3924882,1531708,2,LINK,LINK_R33,LINK_F23
R32,Union St,R32,40.677316,-73.98311,,217,Union St (R),B,2271983,808042,1,R32,,R32
R34,Prospect Av,R34,40.665414,-73.992872,,205,Prospect Av (R),B,1780893,676624,1,R34,,R34
R35,25 St,R35,40.660397,-73.998091,,76,25 St (R),B,1153842,504579,1,R35,,R35
R36,36 St,R36,40.655144,-74.003549,,77,"36 St (D,N,R)",B,4254406,1924520,1,R36,,R36
R39,45 St,R39,40.648939,-74.010006,,79,45 St (R),B,2461410,1081234,1,R39,,R39
R40,53 St,R40,40.645069,-74.014034,,81,53 St (R),B,2797730,1368019,1,R40,,R40
R41,59 St,R41,40.641362,-74.017881,,83,"59 St (N,R)",B,3664480,1631566,1,R41,,R41
R42,Bay Ridge Av,R42,40.634967,-74.023377,,110,Bay Ridge Av (R),B,2354120,1023374,1,R42,,R42
R43,77 St,R43,40.629742,-74.02551,,87,77 St (R),B,1674582,700333,1,R43,,R43
R44,86 St,R44,40.622687,-74.028398,,91,86 St (R),B,3434888,1538353,1,R44,,R44
S01,Franklin Av,S01,40.680596,-73.955827,,152,"Franklin Av (2,3,4,5)/Botanic Garden (S)",B,4999385,1849090,3,LINK,LINK_239,LINK_239
R45,Bay Ridge-95 St,R45,40.616622,-74.030876,,111,Bay Ridge-95 St (R),B,1743441,740055,1,R45,,R45
S04,Botanic Garden,S04,40.670343,-73.959245,,152,"Franklin Av (2,3,4,5)/Botanic Garden (S)",B,4999385,1849090,3,LINK,LINK_239,LINK_239
S03,Park Pl,S03,40.674772,-73.957624,,201,Park Pl (S),B,519984,214950,1,S03,,S03
